index,movie_name,year_of_release,run_time,genre,imdb_rating,votes,gross_total
1,The Shawshank Redemption,1994,142,Drama,9.3,2683302,28.34
2,The Godfather,1972,175,"Crime, Drama",9.2,1860471,134.97
3,Schindler's List,1993,195,"Biography, Drama, History",9.0,1357621,96.90
4,12 Angry Men,1957,96,"Crime, Drama",9.0,792729,4.36
5,The Lord of the Rings: The Return of the King,2003,201,"Action, Adventure, Drama",9.0,1849082,377.85
6,The Dark Knight,2008,152,"Action, Crime, Drama",9.0,2656768,534.86
7,The Godfather: Part II,1974,202,"Crime, Drama",9.0,1273349,57.30
8,Pulp Fiction,1994,154,"Crime, Drama",8.9,2058574,107.93
9,Fight Club,1999,139,Drama,8.8,2128902,37.03
10,Forrest Gump,1994,142,"Drama, Romance",8.8,2082477,330.25
11,The Lord of the Rings: The Two Towers,2002,179,"Action, Adventure, Drama",8.8,1669715,342.55
12,The Lord of the Rings: The Fellowship of the Ring,2001,178,"Action, Adventure, Drama",8.8,1878557,315.54
13,Inception,2010,148,"Action, Adventure, Sci-Fi",8.8,2356293,292.58
14,"The Good, the Bad and the Ugly",1966,178,"Adventure, Western",8.8,763678,6.10
15,The Matrix,1999,136,"Action, Sci-Fi",8.7,1916083,171.48
16,Star Wars: Episode V - The Empire Strikes Back,1980,124,"Action, Adventure, Fantasy",8.7,1294805,290.48
17,Goodfellas,1990,145,"Biography, Crime, Drama",8.7,1164128,46.84
18,One Flew Over the Cuckoo's Nest,1975,133,Drama,8.7,1010102,112.00
19,Life Is Beautiful,1997,116,"Comedy, Drama, Romance",8.6,697226,57.60
20,Star Wars: Episode IV - A New Hope,1977,121,"Action, Adventure, Fantasy",8.6,1367430,322.74
21,City of God,2002,130,"Crime, Drama",8.6,758914,7.56
22,Saving Private Ryan,1998,169,"Drama, War",8.6,1394262,216.54
23,Interstellar,2014,169,"Adventure, Drama, Sci-Fi",8.6,1835790,188.02
24,The Silence of the Lambs,1991,118,"Crime, Drama, Thriller",8.6,1435344,130.74
25,Terminator 2: Judgment Day,1991,137,"Action, Sci-Fi",8.6,1101850,204.84
26,Se7en,1995,127,"Crime, Drama, Mystery",8.6,1655745,100.13
27,Léon: The Professional,1994,110,"Action, Crime, Drama",8.5,1164087,19.50
28,The Pianist,2002,150,"Biography, Drama, Music",8.5,834842,32.57
29,Modern Times,1936,87,"Comedy, Drama, Romance",8.5,244162,0.16
30,Alien,1979,117,"Horror, Sci-Fi",8.5,885635,78.90
31,City Lights,1931,87,"Comedy, Drama, Romance",8.5,186059,0.02
32,The Usual Suspects,1995,106,"Crime, Drama, Mystery",8.5,1087832,23.34
33,Back to the Future,1985,116,"Adventure, Comedy, Sci-Fi",8.5,1208582,210.61
34,Casablanca,1942,102,"Drama, Romance, War",8.5,574092,1.02
35,Rear Window,1954,112,"Mystery, Thriller",8.5,493926,36.76
36,The Prestige,2006,130,"Drama, Mystery, Sci-Fi",8.5,1336235,53.09
37,The Lion King,1994,88,"Animation, Adventure, Drama",8.5,1060900,422.78
38,Apocalypse Now,1979,147,"Drama, Mystery, War",8.5,669994,83.47
39,The Departed,2006,151,"Crime, Drama, Thriller",8.5,1328252,132.38
40,The Lives of Others,2006,137,"Drama, Mystery, Thriller",8.4,391480,11.29
41,Django Unchained,2012,165,"Drama, Western",8.4,1557890,162.81
42,The Dark Knight Rises,2012,164,"Action, Drama",8.4,1708002,448.14
43,Aliens,1986,137,"Action, Adventure, Sci-Fi",8.4,720623,85.16
44,Braveheart,1995,178,"Biography, Drama, History",8.4,1040416,75.60
45,Indiana Jones and the Raiders of the Lost Ark,1981,115,"Action, Adventure",8.4,969143,248.16
46,Memento,2000,113,"Mystery, Thriller",8.4,1241252,25.54
47,American Beauty,1999,122,Drama,8.4,1157536,130.10
48,The Shining,1980,146,"Drama, Horror",8.4,1025560,44.02
49,Full Metal Jacket,1987,116,"Drama, War",8.3,745546,46.36
50,Citizen Kane,1941,119,"Drama, Mystery",8.3,444359,1.59
51,Inglourious Basterds,2009,153,"Adventure, Drama, War",8.3,1453288,120.54
52,Vertigo,1958,128,"Mystery, Romance, Thriller",8.3,404626,3.20
53,Requiem for a Dream,2000,102,Drama,8.3,845362,3.64
54,North by Northwest,1959,136,"Action, Adventure, Mystery",8.3,330232,13.28
55,Star Wars: Episode VI - Return of the Jedi,1983,131,"Action, Adventure, Fantasy",8.3,1056750,309.13
56,Amélie,2001,122,"Comedy, Romance",8.3,759411,33.23
57,Singin' in the Rain,1952,103,"Comedy, Musical, Romance",8.3,244548,8.82
58,Heat,1995,170,"Action, Crime, Drama",8.3,658033,67.44
59,Eternal Sunshine of the Spotless Mind,2004,108,"Drama, Romance, Sci-Fi",8.3,1011004,34.40
60,2001: A Space Odyssey,1968,149,"Adventure, Sci-Fi",8.3,671980,56.95
61,Gone with the Wind,1939,238,"Drama, Romance, War",8.2,317621,198.68
62,Die Hard,1988,132,"Action, Thriller",8.2,887967,83.01
63,A Beautiful Mind,2001,135,"Biography, Drama",8.2,935549,170.74
64,Indiana Jones and the Last Crusade,1989,127,"Action, Adventure",8.2,758057,197.17
65,L.A. Confidential,1997,138,"Crime, Drama, Mystery",8.2,585555,64.62
66,Some Like It Hot,1959,121,"Comedy, Music, Romance",8.2,269346,25.00
67,The Thing,1982,109,"Horror, Mystery, Sci-Fi",8.2,428474,13.78
68,Taxi Driver,1976,114,"Crime, Drama",8.2,836871,28.26
69,V for Vendetta,2005,132,"Action, Drama, Sci-Fi",8.2,1125038,70.51
70,The Bridge on the River Kwai,1957,161,"Adventure, Drama, War",8.2,222540,44.91
71,Kill Bill: Vol. 1,2003,111,"Action, Crime, Drama",8.2,1119120,70.10
72,Chinatown,1974,130,"Drama, Mystery, Thriller",8.2,329110,8.49
73,No Country for Old Men,2007,122,"Crime, Drama, Thriller",8.2,977336,74.28
74,The Third Man,1949,93,"Film-Noir, Mystery, Thriller",8.1,173206,0.45
75,Ratatouille,2007,111,"Animation, Adventure, Comedy",8.1,741322,206.45
76,Fargo,1996,98,"Crime, Thriller",8.1,681256,24.61
77,Trainspotting,1996,93,Drama,8.1,690138,16.50
78,Cool Hand Luke,1967,127,"Crime, Drama",8.1,178888,16.22
79,Blade Runner,1982,117,"Action, Drama, Sci-Fi",8.1,773425,32.87
80,Mad Max: Fury Road,2015,120,"Action, Adventure, Sci-Fi",8.1,1006158,154.06
81,12 Years a Slave,2013,134,"Biography, Drama, History",8.1,703824,56.67
82,The King's Speech,2010,118,"Biography, Drama, History",8.0,683379,138.80
83,12 Monkeys,1995,129,"Mystery, Sci-Fi, Thriller",8.0,621205,57.14
84,Slumdog Millionaire,2008,120,"Crime, Drama, Romance",8.0,848344,141.32
85,Rain Man,1988,133,Drama,8.0,517528,178.80
86,Magnolia,1999,188,Drama,8.0,315037,22.46
87,Life of Pi,2012,127,"Adventure, Drama, Fantasy",7.9,634357,124.99
88,District 9,2009,112,"Action, Sci-Fi, Thriller",7.9,685403,115.65
89,Mystic River,2003,138,"Crime, Drama, Mystery",7.9,459918,90.14
90,Children of Men,2006,109,"Action, Drama, Sci-Fi",7.9,503642,35.55
91,The Hobbit: The Desolation of Smaug,2013,161,"Adventure, Fantasy",7.8,667864,258.37
92,The Insider,1999,157,"Biography, Drama, Thriller",7.8,172759,28.97
93,Star Wars: Episode VII - The Force Awakens,2015,138,"Action, Adventure, Sci-Fi",7.8,933771,936.66
94,To Have and Have Not,1944,100,"Adventure, Comedy, Film-Noir",7.8,35528,5.27
95,"O Brother, Where Art Thou?",2000,107,"Adventure, Comedy, Crime",7.7,315173,45.51
96,As Good as It Gets,1997,139,"Comedy, Drama, Romance",7.7,301756,148.48
97,Lost in Translation,2003,102,"Comedy, Drama",7.7,458613,44.59
98,The Piano,1993,121,"Drama, Music, Romance",7.5,89819,40.16
99,Avanti!,1972,144,"Comedy, Romance",7.2,10748,3.30
